ProcessorCount, PointCount, ElapsedTime, Pi
4,1,0.000092,4.000000
4,10,0.000054,2.800000
4,100,0.000057,3.080000
4,1000,0.000064,3.144000
4,10000,0.000221,3.148000
4,100000,0.000984,3.147600
4,1000000,0.010109,3.141164
4,10000000,0.093073,3.141704
4,100000000,0.953610,3.141455
4,1000000000,9.553220,3.141574
